combo_conservative_selected_count,combo_conservative_selected_rate,combo_gap_to_target_rate,combo_row_count,combo_target_label,formula,is_mixed_risk,policy,policy_local_bonus_vector_id,risk_combo_id
0,0.0,0.35,6,under_target,baseline_current_energy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity
8,1.0,0.19999999999999996,8,over_target,baseline_current_energy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd
7,0.21875,0.13124999999999998,32,under_target,baseline_current_energy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity
3,1.0,0.19999999999999996,3,over_target,baseline_current_energy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd
22,0.55,0.0,40,within_target,baseline_current_energy,False,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dew_or_humidity
6,0.75,0.0,8,within_target,baseline_current_energy,False,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_or_high_vpd
4,1.0,0.19999999999999996,4,over_target,baseline_current_energy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd
4,1.0,0.19999999999999996,4,over_target,baseline_current_energy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd
21,1.0,0.19999999999999996,21,over_target,baseline_current_energy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+dry_or_high_vpd
0,0.0,0.35,6,under_target,formula_A_risk_mitigation_credit,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity
8,1.0,0.19999999999999996,8,over_target,formula_A_risk_mitigation_credit,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd
7,0.21875,0.13124999999999998,32,under_target,formula_A_risk_mitigation_credit,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity
3,1.0,0.19999999999999996,3,over_target,formula_A_risk_mitigation_credit,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd
22,0.55,0.0,40,within_target,formula_A_risk_mitigation_credit,False,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dew_or_humidity
6,0.75,0.0,8,within_target,formula_A_risk_mitigation_credit,False,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_or_high_vpd
4,1.0,0.19999999999999996,4,over_target,formula_A_risk_mitigation_credit,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd
4,1.0,0.19999999999999996,4,over_target,formula_A_risk_mitigation_credit,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd
21,1.0,0.19999999999999996,21,over_target,formula_A_risk_mitigation_credit,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+dry_or_high_vpd
0,0.0,0.35,6,under_target,formula_B_risk_inconsistent_penalty,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity
8,1.0,0.19999999999999996,8,over_target,formula_B_risk_inconsistent_penalty,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd
7,0.21875,0.13124999999999998,32,under_target,formula_B_risk_inconsistent_penalty,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity
3,1.0,0.19999999999999996,3,over_target,formula_B_risk_inconsistent_penalty,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd
22,0.55,0.0,40,within_target,formula_B_risk_inconsistent_penalty,False,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dew_or_humidity
0,0.0,0.35,8,under_target,formula_B_risk_inconsistent_penalty,False,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_or_high_vpd
0,0.0,0.35,4,under_target,formula_B_risk_inconsistent_penalty,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd
0,0.0,0.35,4,under_target,formula_B_risk_inconsistent_penalty,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd
0,0.0,0.35,21,under_target,formula_B_risk_inconsistent_penalty,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+dry_or_high_vpd
0,0.0,0.35,6,under_target,formula_C_combo_specific_energy_semantics,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity
8,1.0,0.19999999999999996,8,over_target,formula_C_combo_specific_energy_semantics,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd
7,0.21875,0.13124999999999998,32,under_target,formula_C_combo_specific_energy_semantics,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity
3,1.0,0.19999999999999996,3,over_target,formula_C_combo_specific_energy_semantics,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd
22,0.55,0.0,40,within_target,formula_C_combo_specific_energy_semantics,False,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dew_or_humidity
0,0.0,0.35,8,under_target,formula_C_combo_specific_energy_semantics,False,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_or_high_vpd
0,0.0,0.35,4,under_target,formula_C_combo_specific_energy_semantics,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd
0,0.0,0.35,4,under_target,formula_C_combo_specific_energy_semantics,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd
0,0.0,0.35,21,under_target,formula_C_combo_specific_energy_semantics,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,dry_vent+dry_or_high_vpd
0,0.0,0.35,6,under_target,formula_D_net_risk_energy_proxy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity
8,1.0,0.19999999999999996,8,over_target,formula_D_net_risk_energy_proxy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt0+dew_or_humidity+dry_or_high_vpd
7,0.21875,0.13124999999999998,32,under_target,formula_D_net_risk_energy_proxy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity
3,1.0,0.19999999999999996,3,over_target,formula_D_net_risk_energy_proxy,True,severity_aware_non_additive_v2,dry=0.06|dry_vent=0.06|dew=0.10|canopy=0.06,canopy_dew_lt1+dew_or_humidity+dry_or_high_vpd
